enst	entrez	tsea	pLI	oe_lof_upper	mis_z	subre	module	go	corum	string	target
ENST00000012134	3097	0	1	0.08	1.8295	2	other	0	no	0	1
ENST00000023897	2554	1	0.91489	0.367	3.1498	2	M13	22	yes	0	1
ENST00000160382	51412	1	0.00028347	0.645	3.2738	1	M7	24	yes	1	1
ENST00000217182	1917	1	0.99558	0.186	4.8166	0	other	3	no	0	1
ENST00000217244	1457	0	0.98711	0.297	3.7123	0	M1	32	yes	1	1
ENST00000218089	10735	0	1	0.09	4.938	2	M7	18	yes	1	1
ENST00000219476	7249	0	1	0.074	-0.33027	0	M7	28	no	0	1
ENST00000221232	4849	0	1	0.076	3.7642	0	M1	7	no	0	1
ENST00000222254	5296	0	0.016273	0.489	2.3329	0	M4	25	no	1	1
ENST00000222329	2077	0	0.98968	0.261	2.2549	0	other	1	no	0	1
ENST00000234111	4953	0	0.16966	0.543	1.467	6	M1	1	no	0	1
ENST00000245838	57187	0	1	0.081	5.5258	0	M1	3	no	0	1
ENST00000247087	27245	0	1	0.076	2.8589	0	M1	0	no	0	1
ENST00000251127	259232	1	8.52E-14	0.522	4.9555	0	M13	6	no	0	1
ENST00000252268	5977	0	0.99991	0.153	2.9486	0	M7	12	yes	0	1
ENST00000254846	23135	0	1	0.14	1.3161	6	M1	25	yes	1	1
ENST00000254958	182	0	1	0.146	3.2459	2	other	52	no	0	1
ENST00000254976	6616	1	0.98653	0.229	2.9553	3	other	32	no	0	1
ENST00000257821	51317	0	1	0.08	2.8565	0	M1	1	yes	0	1
ENST00000260731	3832	0	1	0.121	3.2716	7	other	9	no	0	1
ENST00000260926	23314	0	0.99999	0.091	4.0511	5	M4	2	no	0	1
ENST00000261205	6857	1	0.60038	0.451	2.8351	2	other	49	no	0	1
ENST00000261523	6095	0	0.40096	0.404	2.5778	2	other	21	no	0	1
ENST00000261537	57534	0	3.36E-88	1.973	3.2115	2	M7	1	no	0	1
ENST00000261716	57551	0	0.99787	0.274	4.8186	0	M1	17	no	0	1
ENST00000262160	4087	0	0.99661	0.259	3.6626	0	M1	49	yes	0	1
ENST00000262238	7528	0	0.9938	0.198	3.3086	0	M7	17	yes	1	1
ENST00000262367	1387	0	1	0.066	3.8991	2	M1	67	yes	0	1
ENST00000262493	2775	1	0.99771	0.168	4.4568	0	other	11	no	0	1
ENST00000262518	10847	0	1	0.096	2.1272	0	M7	17	no	1	1
ENST00000262854	10075	0	1	0.06	8.8732	0	M7	17	no	0	1
ENST00000263253	2033	0	1	0.099	2.0341	0	M7	94	yes	1	1
ENST00000263967	5290	0	1	0.117	5.5986	0	M7	39	yes	1	1
ENST00000264010	10664	0	0.99994	0.148	4.4399	0	M7	16	yes	1	1
ENST00000264414	8452	0	0.9996	0.228	4.7538	0	other	33	no	0	1
ENST00000264426	2891	1	0.99913	0.248	4.619	0	other	34	no	0	1
ENST00000264649	535	1	0.99797	0.268	3.7439	0	M7	7	no	0	1
ENST00000264709	1788	0	7.35E-39	1.581	3.4465	6	M1	16	no	0	1
ENST00000264716	2355	0	0.98293	0.241	1.5958	3	other	0	no	0	1
ENST00000269122	1213	0	1	0.104	7.7637	0	other	10	no	0	1
ENST00000271715	23126	0	1	0.119	3.5062	0	M1	8	no	0	1
ENST00000271751	3756	1	0.54625	0.387	3.8156	3	other	22	no	1	1
ENST00000272102	375	0	0.89967	0.402	3.3871	0	other	15	no	0	1
ENST00000274547	2561	1	0.84876	0.385	3.3968	3	M13	13	yes	1	1
ENST00000275034	55023	0	1	0.113	5.1395	4	M1	12	no	0	1
ENST00000275732	64599	0	3.42E-06	0.484	-0.1491	0	M1	0	no	0	1
ENST00000276033	6567	0	0.9617	0.325	2.1982	0	M1	2	no	0	1
ENST00000276079	4841	0	0.9935	0.244	3.5885	6	M7	16	no	1	1
ENST00000277541	4851	0	1	0.097	3.4451	6	other	120	yes	0	1
ENST00000280772	288	1	1	0.089	2.7937	1	M4	29	no	1	1
ENST00000281043	4613	0	0.88897	0.412	1.4064	8	M1	0	no	0	1
ENST00000281708	55294	1	0.99949	0.232	3.7111	2	other	40	no	0	1
ENST00000281928	23389	0	1	0.064	3.691	3	M1	0	no	0	1
ENST00000282030	26040	0	1	0.11	1.0965	6	M1	0	no	1	1
ENST00000283179	3192	0	1	0.114	3.3718	2	M7	55	yes	1	1
ENST00000283256	6326	1	1	0.127	6.4853	1	other	33	no	0	1
ENST00000287766	6529	1	0.99993	0.15	4.1766	0	other	9	no	1	1
ENST00000288602	673	0	0.99995	0.209	3.7208	0	other	6	no	0	1
ENST00000288840	4091	0	3.63E-20	1.975	-0.59229	0	other	40	no	0	1
ENST00000290921	1487	0	0.98442	0.278	3.3093	0	M7	22	yes	0	1
ENST00000294725	343450	0	0.041658	0.374	3.5606	0	M4	11	no	1	1
ENST00000295888	23001	0	1	0.071	5.8174	0	M7	2	no	0	1
ENST00000296122	5500	0	0.99912	0.147	4.3319	0	other	8	no	0	1
ENST00000301030	29123	0	1	0.107	-0.55363	0	M7	7	no	0	1
ENST00000301293	10501	1	0.06227	0.462	2.2197	0	M13	28	no	0	1
ENST00000301740	23524	0	1	0.118	-6.2829	0	M7	8	yes	1	1
ENST00000302326	4330	0	0.99999	0.087	2.1584	8	M1	1	no	0	1
